,WB_ID,common_name,transcript,baseMean,log2FoldChange,padj
25531,WBGene00189951,linc-29,Y73B6BL.269,54.2297454873,-1.47532742836,0.00918633715860011
25569,WBGene00194659,linc-1,W09C5.11,53.9759397974,3.4645900742,7.51052758832003e-09
25647,WBGene00194800,linc-83,C39B10.9,2.33819572363,1.60717308189,0.6086749155535429
25656,WBGene00194814,linc-34,F02C12.8,20.0460054991,-0.208536142334,0.89074067230674
25719,WBGene00194923,linc-121,Y57G11C.1134,0.913892488415,3.8500464999,
25784,WBGene00195060,linc-14,C18D4.11,9.630636681,1.31335375433,0.45790396014642604
25823,WBGene00195170,linc-61,T10C6.18,22.2613997793,1.11993925015,0.257600777626113
30223,WBGene00219306,linc-4,F13H8.15,82.02590272,0.158727517954,0.794998445913405
30269,WBGene00219415,linc-38,Y22F5A.12,2.23573709458,3.14472744823,0.37005709355619104
30291,WBGene00219453,linc-97,T11B7.7,0.948195243414,0.0761877428883,
30305,WBGene00219497,linc-114,F36A4.20,0.541602482343,3.13117498704,
30321,WBGene00219559,linc-5,C04C11.24,82.5616373377,0.15823860019,0.8444421771979742
30322,WBGene00219560,linc-98,C14A6.17,1.21103570431,3.15522229518,
30323,WBGene00219561,linc-142,C16D6.4,27.5135812063,0.867038789957,0.331349530158214
30324,WBGene00219562,linc-28,C25F9.18,48.1786432621,6.70027673546,4.2046507165383804e-12
30325,WBGene00219563,linc-95,C32A3.8,2.86111190534,5.4993334519,0.0495038327230727
30326,WBGene00219564,linc-102,C33G3.14,5.76997444529,3.52311107498,0.0793911646182164
30327,WBGene00219565,linc-120,C34C6.11,3.63118750979,5.84621225959,0.0228161578206206
30328,WBGene00219566,linc-33,C35C5.21,0.410852194379,0.127718092459,
30329,WBGene00219567,linc-164,C44C11.8,2.57303712352,0.583532179434,0.8448962996434429
30331,WBGene00219569,linc-147,C46F11.10,11.2820822773,1.30878752891,0.38948028487330494
30332,WBGene00219570,linc-82,C46F11.11,88.9339404719,2.31669818861,8.43713498214629e-09
30333,WBGene00219571,linc-15,C49F5.10,96.0658185636,0.852362601051,0.10341672760171801
30334,WBGene00219572,linc-146,C51E3.13,0.311190285387,1.98478090816,
30336,WBGene00219574,linc-54,D1025.12,2.3309159089,-4.1726972039,0.285521674950104
30339,WBGene00219577,linc-119,F01G10.21,2.84663296249,1.98551780571,0.5548448690158929
30340,WBGene00219579,linc-43,F09A5.14,4.56353194541,2.51171066609,0.269938536098716
30341,WBGene00219580,linc-18,F14B6.9,7.98368376131,-0.239342192472,0.902637219685248
30345,WBGene00219584,linc-162,F20G2.10,2.85538644373,4.47203949046,0.22174092907921103
30346,WBGene00219585,linc-170,F26F2.14,6.09923325507,1.23715178767,0.651067663786269
30347,WBGene00219586,linc-108,F28F8.13,3.44740379811,-0.219436606443,0.9388212512276309
30349,WBGene00219588,linc-80,F32H2.14,1.50306275633,-1.51637020557,
30351,WBGene00219590,linc-72,F46C5.14,94.3521481961,1.96825043087,0.00863439767738074
30352,WBGene00219591,linc-149,F52A8.8,5.43619194307,-0.283735916601,0.877717718387506
30353,WBGene00219592,linc-84,F55H12.8,3.89315878278,-1.9196613015,0.37622240533477097
30355,WBGene00219594,linc-59,F57G8.15,0.865953527092,3.77733456502,
30357,WBGene00219598,linc-113,K02B12.13,2.13299182808,-2.95607307954,0.310686820614388
30358,WBGene00219599,linc-99,K08E3.14,0.180534160781,1.98478090816,
30359,WBGene00219600,linc-118,K09E9.13,0.180534160781,1.98478090816,
30360,WBGene00219601,linc-129,K11D9.9,9.94537979421,6.31558298101,0.000429714463451038
30361,WBGene00219602,linc-151,M117.14,1.05492249898,-0.805377650891,
30363,WBGene00219604,linc-93,T01H3.10,4.59039266254,1.39892473766,0.5175970438953529
30364,WBGene00219605,linc-110,T09A5.22,7.52579588993,2.15415225283,0.210261087093327
30365,WBGene00219606,linc-133,T09A5.23,4.56485875097,0.168400151707,0.949668810144703
30367,WBGene00219608,linc-58,T22C1.16,3.78055859996,3.34519792232,0.166189343971574
30368,WBGene00219609,linc-7,T22E6.2,2096.78792528,2.97668831774,2.9280254795720197e-26
30370,WBGene00219611,linc-123,T26H5.13,0.93357085616,3.84479627015,
30371,WBGene00219612,linc-153,T27F2.8,2.43817075618,1.03184847264,0.7945394737399609
30372,WBGene00219613,linc-148,VK10D6R.3,0.113708978487,0.0612275565156,
30373,WBGene00219614,linc-105,W09D10.6,20.3009838753,7.34646029699,1.95880532157489e-06
30374,WBGene00219615,linc-109,W09D10.7,11.9300975982,-0.0368322259605,0.9809982247304471
30375,WBGene00219616,linc-111,Y7A9A.80,3.3818755806,-2.32701994765,0.355234601844526
30376,WBGene00219617,linc-25,Y17D7C.10,6.53553335002,-0.596900065928,0.7122098881747251
30377,WBGene00219618,linc-60,Y41E3.462,6.85377844227,-0.776068497693,0.663822959689128
30378,WBGene00219619,linc-76,Y48A6C.9,59.1849766217,2.86683508862,0.0016392869074612199
30379,WBGene00219620,linc-74,Y48B6A.24,2.44299000409,-4.24050856732,0.258144896759538
30383,WBGene00219624,linc-62,Y59A8B.40,0.311190285387,1.98478090816,
30384,WBGene00219626,linc-157,Y73F4A.5,6.29220162652,0.212727112573,0.9323077523397958
30386,WBGene00219629,linc-87,Y75B8A.61,2.44167508472,4.22750420827,0.18355898296220102
30387,WBGene00219630,linc-70,Y113G7A.23,0.807407032508,-2.64355450847,
30389,WBGene00219632,linc-163,Y113G7B.30,3.57272724778,5.80137274003,0.0565774707416624
30390,WBGene00219634,linc-86,Y116A8B.99,0.180534160781,1.98478090816,
30391,WBGene00219635,linc-51,Y116F11B.25,14.6692838589,-2.71520733291,0.0242388630393054
30392,WBGene00219636,linc-81,Y116F11B.26,19.6406189262,-0.131722825602,0.9247540571390821
30393,WBGene00219637,linc-124,ZC334.16,1.61561229848,0.0698957347506,
30395,WBGene00219639,linc-115,ZK678.12,0.180534160781,1.98478090816,
30396,WBGene00219641,linc-47,ZK930.14,1.88997837423,2.16729815658,0.564007973702278
30398,WBGene00219643,linc-78,AH9.8,3.96426553171,-0.2622229622,0.919189247465913
30399,WBGene00219644,linc-69,B0507.16,2.74819507363,5.42262832017,0.0509780762155454
30400,WBGene00219645,linc-166,C02H7.6,0.454835913946,-1.81702199233,
30401,WBGene00219646,linc-89,C04C3.15,30.3158282424,1.2559458296,0.0746378054730671
30403,WBGene00219648,linc-67,C10A4.14,1.50352766358,-1.17924361573,
30404,WBGene00219649,linc-55,C10F3.18,6.91442282808,0.793361273764,0.655868395495087
30405,WBGene00219650,linc-56,C14A11.12,0.909671827893,-2.81635683771,
30406,WBGene00219651,linc-130,C14F5.12,13.7661286276,-0.716395762997,0.554435154440778
30407,WBGene00219652,linc-65,C18G1.10,1.43449841953,0.620854656293,
30408,WBGene00219653,linc-145,C24D10.48,0.672258606949,3.40210749788,
30409,WBGene00219654,linc-156,C30F8.7,11.4149483368,7.48057024417,3.1297184584500397e-05
30410,WBGene00219655,linc-107,C30G12.8,8.90908032719,2.92489158465,0.0875321518274097
30412,WBGene00219657,linc-139,C33F10.25,1.02897093143,-1.67034588939,
30415,WBGene00219660,linc-19,C44B11.8,10.4190170204,-1.78452230237,0.19065494416021697
30416,WBGene00219661,linc-45,C44B11.9,10.8646896308,-0.42902733145,0.787505818492547
30417,WBGene00219662,linc-134,C45E5.54,0.541602482343,3.13117498704,
30419,WBGene00219664,linc-73,C52E12.10,2.53288271089,5.30881616557,0.12455166302858399
30420,WBGene00219665,linc-101,C54E4.11,0.923382464653,-0.0155575999209,
30421,WBGene00219666,linc-31,D1014.12,4.52525661614,3.57260193936,0.0993717534784294
30422,WBGene00219667,linc-66,D2062.14,19.4084369979,1.20716952271,0.29834578751369106
30428,WBGene00219673,linc-96,F08F3.17,2.92460344336,-1.25468701108,0.619930703637526
30429,WBGene00219674,linc-122,F10C1.21,0.913892488415,3.8500464999,
30430,WBGene00219675,linc-44,F10C1.22,5291.01235427,7.29139399714,2.0327967524102794e-117
30431,WBGene00219676,linc-48,F11C7.10,15.2735974136,2.04177858061,0.038889960536186007
30433,WBGene00219678,linc-9,F21A9.3,53.3888684775,-0.71784615833,0.206952270973882
30435,WBGene00219680,linc-35,F22D3.10,12.8301927242,-0.564579483303,0.6461998294912751
30437,WBGene00219682,linc-50,F26D12.101,1.10715313479,-1.66211491194,
30439,WBGene00219684,linc-26,F30B5.10,2.26669758324,0.869171705945,0.793280921547076
30440,WBGene00219685,linc-75,F31A9.8,6.37074963367,-1.13147703915,0.4853814485729989
30441,WBGene00219686,linc-125,F32A5.10,43.0466308458,-0.687419718702,0.40696533062395
30442,WBGene00219688,linc-21,F36A4.21,60.7334492875,1.21532958371,0.0232807106488848
30443,WBGene00219689,linc-41,F36A4.22,35.3101942393,1.08263586236,0.14222801468836901
30444,WBGene00219690,linc-10,F39E9.24,2.85993895774,-1.69924547503,0.48087436876918604
30445,WBGene00219691,linc-106,F39F10.6,0.113708978487,0.0612275565156,
30446,WBGene00219692,linc-23,F40E3.10,0.491724446168,2.93377524491,
30447,WBGene00219693,linc-144,F41G4.12,2.17819037456,-1.89538081254,0.538875850987111
30448,WBGene00219694,linc-36,F41H10.37,53.0708695346,0.338014023943,0.5972980728863061
30449,WBGene00219695,linc-126,F42A9.16,3.93691317309,-0.134436758885,0.954687791542132
30451,WBGene00219697,linc-169,F43E2.13,33.2388537816,2.31467141756,0.00253320769159617
