WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,change,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,cat
WBGene00197228,,T06E8.3,Live,ncRNA_gene,606.6879478,13.22059339,9.01E-26,up,0,0,0,1170.696278,1137.089303,1332.342107,T06E8.3
WBGene00195705,,Y37A1B.330,Live,ncRNA_gene,416.1747225,12.67613877,2.46E-22,up,0,0,0,1251.575763,724.4509844,521.021588,Y37A1B.330
WBGene00197215,,F57A8.9,Live,ncRNA_gene,6364.232248,12.58189236,6.42E-117,up,0,2.076189512,4.197925984,11601.40819,12900.08209,13677.62909,F57A8.9
WBGene00198348,,T06E8.4,Live,ncRNA_gene,263.0839217,12.01493545,1.13E-20,up,0,0,0,389.3182001,562.0096554,627.1756746,T06E8.4
WBGene00197545,,Y53F4B.55,Live,ncRNA_gene,123.7073612,10.9268602,1.34E-16,up,0,0,0,334.4846508,199.7841632,207.9753532,Y53F4B.55
WBGene00199742,,T06E8.6,Live,ncRNA_gene,116.8228785,10.8428813,1.58E-16,up,0,0,0,180.9507127,263.2669814,256.7195766,
WBGene00201431,,F02E8.10,Live,ncRNA_gene,212.3186837,10.74302774,1.77E-09,up,0.682253871,0,0,941.7662093,141.9027701,189.5608688,
WBGene00199051,,R03E9.7,Live,ncRNA_gene,106.8934262,10.71975075,1.60E-15,up,0,0,0,212.4800036,128.8327782,300.0477752,
WBGene00199213,,F45H7.11,Live,ncRNA_gene,80.62059709,10.31065335,6.77E-13,up,0,0,0,302.9553599,61.61567651,119.1525461,
WBGene00201283,,C47E8.15,Live,ncRNA_gene,80.60738385,10.30436661,4.60E-14,up,0,0,0,198.7716162,196.0498798,88.8228071,
WBGene00196827,,C17C3.22,Live,ncRNA_gene,76.65358576,10.23797269,9.43E-14,up,0,0,0,234.4134233,93.35708562,132.1510057,
WBGene00197109,,Y66A7AL.3,Live,ncRNA_gene,73.08782542,10.16733228,2.96E-14,up,0,0,0,172.7256803,132.5670616,133.2342107,
WBGene00196068,,F40F9.13,Live,ncRNA_gene,70.82219773,10.12356765,6.51E-14,up,0,0,0,182.3215514,108.2942193,134.3174156,
WBGene00219916,,F26D10.23,Live,ncRNA_gene,129.1122299,10.02482827,1.75E-13,up,0,0,0.699654331,419.4766522,194.1827381,160.3143348,
WBGene00200753,,F48D6.5,Live,ncRNA_gene,53.71567495,9.717653593,3.30E-12,up,0,0,0,126.1171634,134.4342033,61.74268299,
WBGene00200337,,C41C4.15,Live,ncRNA_gene,52.76093634,9.69625083,0.043158452,no_change,0,0,0,126.1171634,190.4484547,0,
WBGene00044967,smy-9,Y45F10B.16,Live,ncRNA_gene,48.09193198,9.562400322,9.28E-12,no_change,0,0,0,138.454712,84.02137705,66.07550285,
WBGene00202120,,C43H6.11,Live,ncRNA_gene,41.3811059,9.348993343,3.72E-10,no_change,0,0,0,153.5339381,37.34283425,57.40986313,
WBGene00197622,,CD4.14,Live,ncRNA_gene,39.83224653,9.29851012,1.16E-10,no_change,0,0,0,69.91277536,46.67854281,122.402161,
WBGene00199488,,W06H8.13,Live,ncRNA_gene,39.28428852,9.272170835,3.59E-11,no_change,0,0,0,64.42942043,80.28709363,90.98921703,
WBGene00202233,,F55D12.9,Live,ncRNA_gene,38.0065631,9.216754865,2.73E-10,no_change,0,0,0,87.73367889,104.5599359,35.74576383,
WBGene00201771,,F48D6.6,Live,ncRNA_gene,36.87014026,9.175541772,2.57E-10,no_change,0,0,0,100.0712275,82.15423534,38.99537873,
WBGene00197145,,W08F4.15,Live,ncRNA_gene,34.93583012,9.101934603,3.64E-08,no_change,0,0,0,6.854193663,93.35708562,109.4037014,
WBGene00200892,,Y43F8B.26,Live,ncRNA_gene,67.97491319,9.09864985,1.50E-11,up,0.682253871,0,0,148.0505831,126.9656364,132.1510057,
WBGene00201626,,F17C11.21,Live,ncRNA_gene,31.91010981,8.970765651,8.35E-09,no_change,0,0,0,16.45006479,84.02137705,90.98921703,
WBGene00197866,,F26H11.10,Live,ncRNA_gene,31.72400991,8.959405206,2.72E-07,no_change,0,0,0,112.4087761,74.68566849,3.249614894,
WBGene00198023,,T14F9.13,Live,ncRNA_gene,31.16619405,8.936067235,7.14E-10,no_change,0,0,0,83.62116269,57.88139308,45.49460852,
WBGene00197710,,C14F11.14,Live,ncRNA_gene,1726.149315,8.864315714,1.08E-74,up,4.093523226,6.228568536,11.89412362,5124.195183,3357.120799,1853.363695,
WBGene00197723,,Y69A2AR.39,Live,ncRNA_gene,28.10598276,8.789317484,1.19E-09,no_change,0,0,0,58.9460655,52.27996794,57.40986313,
WBGene00199247,,T27E4.19,Live,ncRNA_gene,27.94966937,8.780204644,2.14E-07,no_change,0,0,0,128.8588409,28.00712568,10.83204965,
WBGene00196816,,T27E4.15,Live,ncRNA_gene,28.11876729,8.778364443,1.25E-07,no_change,0,0,0,38.38348451,119.4970696,10.83204965,
WBGene00200812,,C17C3.23,Live,ncRNA_gene,27.81942601,8.777160756,6.38E-08,no_change,0,0,0,115.1504535,14.9371337,36.8289688,
WBGene00200542,,T06E8.7,Live,ncRNA_gene,27.5211454,8.759175348,2.21E-09,no_change,0,0,0,72.65445283,44.8114011,47.66101845,
WBGene00220142,,Y37F4.15,Live,ncRNA_gene,52.80588705,8.734841953,7.12E-10,up,0,0,0.699654331,57.57522677,110.161361,148.3990802,
WBGene00219941,,F40F11.6,Live,ncRNA_gene,1129.132634,8.667800056,4.13E-86,up,1.364507742,8.304758049,6.996543307,2833.52366,1979.170215,1945.436117,
WBGene00199045,,Y53F4B.58,Live,ncRNA_gene,47.46832541,8.577235757,0.001126445,no_change,0,0,0.699654331,79.50864649,203.5184466,1.083204965,
WBGene00199534,,F47C8.3,Live,ncRNA_gene,22.56788404,8.469916338,4.49E-08,no_change,0,0,0,71.2836141,39.20997596,24.91371419,
WBGene00196838,,F55C5.14,Live,ncRNA_gene,21.53039134,8.410594548,1.10E-07,no_change,0,0,0,65.80025917,16.80427541,46.57781348,
WBGene00200103,,M03D4.77,Live,ncRNA_gene,21.12084575,8.372220872,4.48E-08,no_change,0,0,0,54.8335493,44.8114011,27.08012412,
WBGene00197666,,C05D2.15,Live,ncRNA_gene,20.58992665,8.338273683,0.087781992,no_change,0,0,0,50.72103311,72.81852678,0,
WBGene00220109,,W01F3.4,Live,ncRNA_gene,19.18052057,8.237067812,0.092493421,no_change,0,0,0,109.6670986,0,5.416024823,
WBGene00197625,,T27E4.16,Live,ncRNA_gene,18.71292748,8.19915052,1.45E-06,no_change,0,0,0,72.65445283,29.8742674,9.748844682,
WBGene00199132,,C37H5.15,Live,ncRNA_gene,17.27615941,8.076653729,5.30E-07,no_change,0,0,0,20.56258099,56.01425137,27.08012412,
WBGene00196919,,R07B1.18,Live,ncRNA_gene,16.99459395,8.067565317,7.04E-07,no_change,0,0,0,54.8335493,16.80427541,30.32973901,
WBGene00201002,,T28B11.21,Live,ncRNA_gene,16.76141676,8.047460635,3.14E-07,no_change,0,0,0,38.38348451,24.27284226,37.91217376,
WBGene00195898,,W01H2.4,Live,ncRNA_gene,16.41239605,8.012794774,1.76E-06,no_change,0,0,0,61.68774297,20.53855884,16.24807447,
WBGene00201282,,F38E11.24,Live,ncRNA_gene,16.22245373,7.993228906,3.51E-07,no_change,0,0,0,31.52929085,35.47569253,30.32973901,
WBGene00200334,,T06H11.18,Live,ncRNA_gene,16.11618005,7.983705072,4.91E-07,no_change,0,0,0,41.12516198,31.74140911,23.83050922,
WBGene00196969,,R03E9.6,Live,ncRNA_gene,15.89075915,7.968656573,7.79E-07,no_change,0,0,0,19.19174226,31.74140911,44.41140355,
WBGene00195430,,C25F6.10,Live,ncRNA_gene,15.53162991,7.93660713,1.10E-06,no_change,0,0,0,17.82090352,29.8742674,45.49460852,
WBGene00201944,,F54D5.22,Live,ncRNA_gene,85.09463844,7.935911409,1.10E-13,up,0.682253871,0,1.399308661,282.3927789,143.7699118,82.32357732,
