,WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,change,cat
325,WBGene00010536,,K03D7.9,Live,pseudogene,111.4500163,10.77506212,1.27E-15,0,0,0,334.4846508,192.3155964,141.8998504,up,K03D7.9
1264,WBGene00050938,,F23H12.11,Live,pseudogene,54.8992637,9.7549823,1.99E-10,0,0,0,242.6384557,46.67854281,40.07858369,up,F23H12.11
1066,WBGene00023398,,ZC123.t1,Live,pseudogene,430.9892476,9.27959074,6.77E-35,0.682253871,0,3.498271653,1359.872023,655.366741,566.5161965,up,ZC123.t1
437,WBGene00013155,,Y53F4B.8,Live,pseudogene,1762.835875,9.098298201,6.34E-15,8.869300322,10.38094756,0,4329.108718,2755.901167,3472.755117,up,Y53F4B.8
408,WBGene00012618,dct-10,Y38H6C.5,Live,pseudogene,2501.107457,8.946349948,8.67E-75,17.05634677,1.384126341,11.89412362,5240.716475,3657.730614,6077.863057,up,dct-10
981,WBGene00023255,,C45H4.t1,Live,pseudogene,26.96320439,8.723046704,4.18E-09,0,0,0,65.80025917,63.48281822,32.49614894,no_change,
87,WBGene00005483,srh-278,T09F5.8,Live,pseudogene,19.87249368,8.288161872,1.19E-07,0,0,0,20.56258099,46.67854281,51.9938383,no_change,
267,WBGene00008943,srz-36,F19B2.4,Live,pseudogene,140.023834,8.24616158,1.56E-18,2.729015484,0,0,457.8601367,220.3227221,159.2311298,up,
1040,WBGene00023353,,W01H2.t1,Live,pseudogene,16.41239605,8.012794774,1.76E-06,0,0,0,61.68774297,20.53855884,16.24807447,no_change,
1001,WBGene00023283,,F40H7.6,Live,pseudogene,16.21300944,7.994832272,9.97E-05,0,0,0,84.99200142,11.20285027,1.083204965,no_change,
170,WBGene00006079,str-11,Y73F8A.7,Live,pseudogene,16.03152381,7.975323258,6.56E-07,0,0,0,43.86683944,31.74140911,20.58089433,no_change,
1107,WBGene00044168,,M05D6.10,Live,pseudogene,137.861046,7.893843107,2.08E-24,1.364507742,0,2.098962992,267.3135529,326.7497997,229.6394525,up,
1005,WBGene00023290,,F53B1.t1,Live,pseudogene,77.34272873,7.800688695,2.70E-13,0.682253871,0,1.399308661,257.7176817,84.02137705,120.2357511,up,
946,WBGene00022693,,ZK250.10,Live,pseudogene,13.98953962,7.78205858,2.37E-06,0,0,0,16.45006479,31.74140911,35.74576383,no_change,
409,WBGene00012620,,Y38H6C.7,Live,pseudogene,20.51684408,7.370086432,2.93E-06,0,0,0.699654331,21.93341972,35.47569253,64.99229788,no_change,
46,WBGene00005176,srg-19,Y105C5A.11,Live,pseudogene,10.46169911,7.360149605,6.94E-05,0,0,0,38.38348451,16.80427541,7.582434753,no_change,
461,WBGene00013648,,Y105C5B.7,Live,pseudogene,10.36582119,7.347413309,5.23E-05,0,0,0,35.64180705,16.80427541,9.748844682,no_change,
1052,WBGene00023381,,Y53G8B.t9,Live,pseudogene,9.89488826,7.282817395,4.69E-05,0,0,0,10.96670986,22.40570055,25.99691915,no_change,
311,WBGene00010176,,F56H11.6,Live,pseudogene,9.482002828,7.214733317,5.86E-05,0,0,0,12.33754859,26.13998397,18.4144844,no_change,
1358,WBGene00077753,,R13.6,Live,pseudogene,9.296890133,7.193448865,5.20E-05,0,0,0,20.56258099,16.80427541,18.4144844,no_change,
1421,WBGene00235003,,F26F2.15,Live,pseudogene,9.187976994,7.182862032,0.000497118,0,0,0,37.01264578,1.867141712,16.24807447,no_change,
536,WBGene00014738,,F19H8.t1,Live,pseudogene,2147.004273,7.141531638,3.10E-99,26.60790097,35.29522171,28.68582756,5484.725769,4585.700045,2721.010871,up,
334,WBGene00010930,srt-46,M162.4,Live,pseudogene,8.895226385,7.121236769,0.000207574,0,0,0,27.41677465,20.53855884,5.416024823,no_change,
1177,WBGene00044914,,T11B7.6,Live,pseudogene,8.701531465,7.087806344,0.000188097,0,0,0,23.30425845,22.40570055,6.499229788,no_change,
249,WBGene00008465,,E03A3.5,Live,pseudogene,8.4514409,7.047885912,0.000465616,0,0,0,28.78761339,18.67141712,3.249614894,no_change,
143,WBGene00005902,srx-11,Y97E10B.6,Live,pseudogene,16.05211987,7.005682809,3.42E-05,0.682253871,0,0,57.57522677,26.13998397,11.91525461,no_change,
440,WBGene00013313,,Y57G11C.18,Live,pseudogene,7.619565191,6.909413258,0.000464254,0,0,0,27.41677465,7.468566849,10.83204965,no_change,
1010,WBGene00023304,,F58F6.t1,Live,pseudogene,7.477687382,6.887434909,0.000498374,0,0,0,21.93341972,5.601425137,17.33127943,no_change,
721,WBGene00016526,fbxa-8,C39B5.8,Live,pseudogene,7.362831476,6.855514345,0.000335242,0,0,0,19.19174226,13.06999199,11.91525461,no_change,
1065,WBGene00023397,,Y104H12A.t2,Live,pseudogene,7.311014365,6.838600846,0.000515671,0,0,0,20.56258099,16.80427541,6.499229788,no_change,
147,WBGene00005921,srx-30,F41H8.3,Live,pseudogene,7.102345153,6.803679695,0.009285925,0,0,0,37.01264578,5.601425137,0,no_change,
1262,WBGene00050932,,F46B3.19,Live,pseudogene,6.829811219,6.753218227,0.002576013,0,0,0,31.52929085,1.867141712,7.582434753,no_change,
454,WBGene00013614,clec-237,Y102A5C.7,Live,pseudogene,12.66394001,6.669226735,8.96E-05,0,0,0.699654331,38.38348451,13.06999199,23.83050922,no_change,
352,WBGene00011459,,T05A6.5,Live,pseudogene,6.059735615,6.57920845,0.005193445,0,0,0,30.15845212,1.867141712,4.332819859,no_change,
1192,WBGene00045026,,Y7A9C.10,Live,pseudogene,5.98353606,6.557650218,0.0020066,0,0,0,21.93341972,7.468566849,6.499229788,no_change,
1235,WBGene00045315,,Y116A8C.52,Live,pseudogene,5.946818783,6.546071762,0.004099539,0,0,0,26.04593592,7.468566849,2.166409929,no_change,
1096,WBGene00044085,,Y105C5B.30,Live,pseudogene,5.822680267,6.510547256,0.001996338,0,0,0,16.45006479,13.06999199,5.416024823,no_change,
671,WBGene00014991,,ZK829.12,Live,pseudogene,5.768223697,6.505123924,0.003538314,0,0,0,24.67509719,5.601425137,4.332819859,no_change,
1168,WBGene00044787,pals-36,C54D10.12,Live,pseudogene,5.746480712,6.485775277,0.002070895,0,0,0,8.225032396,18.67141712,7.582434753,no_change,
442,WBGene00013320,srt-51,Y57G11C.27,Live,pseudogene,5.690085067,6.476058106,0.003094059,0,0,0,17.82090352,13.06999199,3.249614894,no_change,
645,WBGene00014948,,Y73F8A.4,Live,pseudogene,5.38929054,6.400676649,0.002900165,0,0,0,5.48335493,14.9371337,11.91525461,no_change,
549,WBGene00014763,,F46F2.t1,Live,pseudogene,5.33483397,6.395442849,0.002638697,0,0,0,13.70838733,7.468566849,10.83204965,no_change,
632,WBGene00014925,,Y57G11C.29,Live,pseudogene,5.376955707,6.395408119,0.017773004,0,0,0,19.19174226,13.06999199,0,no_change,
1437,WBGene00235366,,F49F1.16,Live,pseudogene,5.340112888,6.375543358,0.025851415,0,0,0,0,29.8742674,2.166409929,no_change,
1290,WBGene00077451,,Y69H2.16,Live,pseudogene,5.173277794,6.358756209,0.016154047,0,0,0,13.70838733,0,17.33127943,no_change,
463,WBGene00013661,,Y105C5B.23,Live,pseudogene,5.119521608,6.33650107,0.003930184,0,0,0,16.45006479,5.601425137,8.665639717,no_change,
1071,WBGene00023480,srz-68,C17F4.9,Live,pseudogene,5.061186888,6.317417263,0.015585058,0,0,0,27.41677465,1.867141712,1.083204965,no_change,
1450,WBGene00255730,,F48G7.15,Live,pseudogene,4.988865483,6.302433003,0.005174268,0,0,0,16.45006479,3.734283425,9.748844682,no_change,
601,WBGene00014872,,Y38E10A.t2,Live,pseudogene,4.843109524,6.257554035,0.004798068,0,0,0,13.70838733,5.601425137,9.748844682,no_change,
969,WBGene00023238,,C17H12.7,Live,pseudogene,4.832713766,6.250784261,0.017691126,0,0,0,26.04593592,1.867141712,1.083204965,no_change,
1012,WBGene00023308,,H11E01.t1,Live,pseudogene,525.6499165,6.22761937,7.33E-37,7.50479258,22.14602146,11.89412362,1629.927253,901.8294471,580.5978611,up,
1197,WBGene00045046,,Y64G10A.9,Live,pseudogene,4.549658532,6.154759242,0.006033531,0,0,0,9.595871128,11.20285027,6.499229788,no_change,
1191,WBGene00045022,,K04D7.7,Live,pseudogene,4.360667688,6.09783343,0.037180052,0,0,0,20.56258099,5.601425137,0,no_change,
985,WBGene00023262,,C54F6.2,Live,pseudogene,4.34098932,6.095579867,0.085203302,0,0,0,26.04593592,0,0,no_change,
1207,WBGene00045098,,VY10G11R.3,Live,pseudogene,4.34098932,6.095579867,0.085203302,0,0,0,26.04593592,0,0,no_change,
583,WBGene00014837,,T09F5.13,Live,pseudogene,4.303446117,6.090128532,0.009321907,0,0,0,12.33754859,3.734283425,9.748844682,no_change,
336,WBGene00010952,clec-188,M199.3,Live,pseudogene,4.301507042,6.08311819,0.008807182,0,0,0,13.70838733,5.601425137,6.499229788,no_change,
1078,WBGene00043055,,F19B2.10,Live,pseudogene,4.223368412,6.042030055,0.00950379,0,0,0,6.854193663,13.06999199,5.416024823,no_change,
457,WBGene00013625,srz-53,Y102A5C.23,Live,pseudogene,4.112516198,6.01762574,0.094835642,0,0,0,24.67509719,0,0,no_change,
1201,WBGene00045065,,Y40H7A.15,Live,pseudogene,4.049477402,5.992548603,0.048214363,0,0,0,20.56258099,3.734283425,0,no_change,
1359,WBGene00077754,,Y116A8C.199,Live,pseudogene,4.005416591,5.986340366,0.037957612,0,0,0,16.45006479,0,7.582434753,no_change,
131,WBGene00005817,srw-70,ZK1037.7,Live,pseudogene,3.966760239,5.964593139,0.057361258,0,0,0,21.93341972,1.867141712,0,no_change,
1440,WBGene00235376,,Y9C9A.112,Live,pseudogene,3.95359948,5.959590671,0.020157873,0,0,0,17.82090352,3.734283425,2.166409929,no_change,
565,WBGene00014794,,K02E2.5,Live,pseudogene,3.872821391,5.936290991,0.044012297,0,0,0,17.82090352,0,5.416024823,no_change,
1059,WBGene00023389,,Y69A2AR.t1,Live,pseudogene,14.3169312,5.930747038,9.38E-05,0,1.384126341,0,37.01264578,28.00712568,19.49768936,no_change,
695,WBGene00015761,,C14C6.7,Live,pseudogene,3.82100428,5.90851186,0.05511894,0,0,0,19.19174226,3.734283425,0,no_change,
1159,WBGene00044718,,T20D4.20,Live,pseudogene,7.493579363,5.905979979,0.00203406,0.682253871,0,0,20.56258099,7.468566849,16.24807447,no_change,
512,WBGene00014683,,C25F9.t2,Live,pseudogene,3.807843521,5.901994062,0.020108082,0,0,0,15.07922606,5.601425137,2.166409929,no_change,
