Repeat	baseMean	log2FoldChange	padj	number.HSEs.HSF1	number.genome
CELE14B	1119.410758	1.287111559	8.88753e-08	0	2451
CELETC2	524.3311299	1.64668449	3.64502e-06	0	333
CER10-I_CE	9649.537291	1.553250833	3.74681e-06	0	8
CER2-LTR_CE	431.4354561	2.937920705	5.81216e-11	2	7
CER3-I_CE	286.4296431	1.641243573	0.001565186	0	10
CER5-I_CE	426.9403964	1.209832401	0.00587151	0	22
CER6-I_CE	548.6404726	1.049275461	0.003112737	0	9
CER7-I_CE	533.6865634	2.881827914	3.93675e-12	0	47
CER7-LTR_CE	317.629514	4.110818923	2.06002e-15	0	7
CERP16	1589.533766	10.73002476	5.79217e-52	0	1579
Helitron1_CE	28205.11616	7.289696647	3.3787e-174	13	387
HelitronY1_CE	1672.48875	5.355801106	6.63185e-72	161	802
HelitronY1A_CE	2690.379514	4.333849305	5.00418e-52	101	1468
IR1_CE	253.1218099	2.34053232	6.19361e-09	0	127
LINE2G_CE	746.3741832	2.152675788	7.32104e-07	0	116
LINE2H_CE	106.1289272	1.27248699	0.027930004	0	33
Mariner3_CE	332.1353984	1.289851934	0.003335986	0	73
Merlin1m_CE	983.8994662	5.571820643	5.36238e-77	1	9
RCD1	180.5489788	3.770878304	6.11465e-20	0	105
TC4	3207.883868	3.070988777	1.13974e-40	0	215
TIR43YW1_CE	6829.226172	5.376779786	3.88841e-73	0	24
