"WB.ID"	"gene.name"	"chrom"	"start"	"end"	"strand"	"sequence.name"	"HSE.lax.HSF1.number"	"UP"
"WBGene00006650"	"tts-1"	"chrX"	1504131	1504841	"-"	"F09E10.11"	0	TRUE
"WBGene00010424"	"lep-5"	"chrX"	12652591	12653520	"-"	"H36L18.2"	0	FALSE
"WBGene00014836"	"T09F5.12"	"chrV"	15164743	15166318	"-"	"T09F5.12"	0	TRUE
"WBGene00017941"	"F31A9.2"	"chrX"	1794816	1795673	"+"	"F31A9.2"	0	FALSE
"WBGene00023069"	"rncs-1"	"chrX"	1011501	1012347	"+"	"F55A4.9"	0	FALSE
"WBGene00189951"	"linc-29"	"chrIV"	6354024	6357243	"+"	"Y73B6BL.269"	0	FALSE
"WBGene00194659"	"linc-1"	"chrI"	13652524	13652727	"+"	"W09C5.11"	0	TRUE
"WBGene00194800"	"linc-83"	"chrX"	10474214	10474902	"-"	"C39B10.9"	0	FALSE
"WBGene00194814"	"linc-34"	"chrX"	13400747	13401468	"-"	"F02C12.8"	0	FALSE
"WBGene00194923"	"linc-121"	"chrIV"	14934821	14937128	"-"	"Y57G11C.1134"	0	FALSE
"WBGene00195060"	"linc-14"	"chrV"	17539172	17539475	"-"	"C18D4.11"	0	FALSE
"WBGene00195170"	"linc-61"	"chrV"	16043099	16043761	"-"	"T10C6.18"	0	FALSE
"WBGene00195186"	"F19G12.10"	"chrX"	1420699	1423497	"+"	"F19G12.10"	0	FALSE
"WBGene00219306"	"linc-4"	"chrII"	6268939	6269516	"+"	"F13H8.15"	0	FALSE
"WBGene00219415"	"linc-38"	"chrV"	10276942	10277353	"-"	"Y22F5A.12"	0	FALSE
"WBGene00219453"	"linc-97"	"chrIV"	8845774	8846093	"-"	"T11B7.7"	0	FALSE
"WBGene00219497"	"linc-114"	"chrIV"	4259737	4260391	"-"	"F36A4.20"	0	FALSE
"WBGene00219559"	"linc-5"	"chrX"	14018610	14019376	"+"	"C04C11.24"	0	FALSE
"WBGene00219560"	"linc-98"	"chrV"	18172547	18172647	"-"	"C14A6.17"	0	FALSE
"WBGene00219561"	"linc-142"	"chrX"	12517114	12519034	"-"	"C16D6.4"	0	FALSE
"WBGene00219562"	"linc-28"	"chrV"	19420701	19420857	"-"	"C25F9.18"	0	FALSE
"WBGene00219563"	"linc-95"	"chrIII"	3633005	3635788	"-"	"C32A3.8"	0	FALSE
"WBGene00219564"	"linc-102"	"chrX"	14079397	14080037	"-"	"C33G3.14"	0	FALSE
"WBGene00219565"	"linc-120"	"chrII"	8688171	8691915	"+"	"C34C6.11"	0	FALSE
"WBGene00219566"	"linc-33"	"chrX"	11563625	11563749	"-"	"C35C5.21"	0	FALSE
"WBGene00219567"	"linc-164"	"chrII"	12352959	12355909	"-"	"C44C11.8"	0	FALSE
